id,generated_1617567545256,generated_1617567545257,generated_1617567545258,generated_1617567545259,generated_1617567545260
1,1,,President,George Washington,"April 30, 1789 - March 4, 1797"
2,1,1,Vice President,John Adams,"April 30, 1789 - March 4, 1797"
3,2,,President,John Adams,"March 4, 1797 - March 4, 1801"
4,2,1,Vice President,Thomas Jefferson,"March 4, 1797 - March 4, 1801"
5,3,,President,Thomas Jefferson,"March 4, 1801 - March 4, 1809"
6,3,1,Vice President,Aaron Burr,"March 4, 1801 - March 4, 1805"
7,3,2,Vice President,George Clinton,"March 4, 1805 - April 20, 1812"
8,4,,President,James Madison,"March 4, 1809 - March 4, 1817"
9,4,1,Vice President,Elbridge Gerry,"March 4, 1813 - November 23, 1814"
10,5,,President,James Monroe,"March 4, 1817 - March 4, 1825"
11,5,1,Vice President,Daniel D. Tompkins,"March 4, 1817 - March 4, 1825"
12,6,,President,John Quincy Adams,"March 4, 1825 - March 4, 1829"
13,6,1,Vice President,John C. Calhoun,"March 4, 1825 - December 28, 1832"
14,7,,President,Andrew Jackson,"March 4, 1829 - March 4, 1837"
15,7,1,Vice President,Martin Van Buren,"March 4, 1833 - March 4, 1837"
16,8,,President,Martin Van Buren,"March 4, 1837 - March 4, 1841"
17,8,1,Vice President,Richard Mentor Johnson,"March 4, 1837 - March 4, 1841"
18,9,,President,William Henry Harrison,"March 4, 1841 - April 4, 1841"
19,9,1,Vice President,John Tyler,"March 4, 1841 - April 4, 1841"
20,10,,President,John Tyler,"April 4, 1841 - March 4, 1845"
21,11,,President,James K. Polk,"March 4, 1845 - March 4, 1849"
22,11,1,Vice President,George M. Dallas,"March 4, 1845 - March 4, 1849"
23,12,,President,Zachary Taylor,"March 4, 1849 - July 9, 1850"
24,12,1,Vice President,Millard Fillmore,"March 4, 1849 - July 9, 1850"
25,13,,President,Millard Fillmore,"July 9, 1850 - March 4, 1853"
26,14,,President,Franklin Pierce,"March 4, 1853 - March 4, 1857"
27,14,1,Vice President,William R. King,"March 4, 1853 - April 18, 1853"
28,15,,President,James Buchanan,"March 4, 1857 - March 4, 1861"
29,15,1,Vice President,John C. Breckinridge,"March 4, 1857 - March 4, 1861"
30,16,,President,Abraham Lincoln,"March 4, 1861 - April 15, 1865"
31,16,1,Vice President,Hannibal Hamlin,"March 4, 1861 - March 4, 1865"
32,16,2,Vice President,Andrew Johnson,"March 4, 1865 - April 15, 1865"
33,17,,President,Andrew Johnson,"April 15, 1865 - March 4, 1869"
34,18,,President,Ulysses S. Grant,"March 4, 1869 - March 4, 1877"
35,18,1,Vice President,Schuyler Colfax,"March 4, 1869 - March 4, 1873"
36,18,2,Vice President,Henry Wilson,"March 4, 1873 - November 22, 1875"
37,19,,President,Rutherford B. Hayes,"March 4, 1877 - March 4, 1881"
38,19,1,Vice President,William A. Wheeler,"March 4, 1877 - March 4, 1881"
39,20,,President,James A. Garfield,"March 4, 1881 - September 19, 1881"
40,20,1,Vice President,Chester A. Arthur,"March 4, 1881 - September 19, 1881"
41,21,,President,Chester A. Arthur,"September 19, 1881 - March 4, 1885"
42,22,,President,Grover Cleveland,"March 4, 1885 - March 4, 1889"
43,22,1,Vice President,Thomas A. Hendricks,"March 4, 1885 - November 25, 1885"
44,23,,President,Benjamin Harrison,"March 4, 1889 - March 4, 1893"
45,23,1,Vice President,Levi P. Morton,"March 4, 1889 - March 4, 1893"
46,24,,President,Grover Cleveland,"March 4, 1893 - March 4, 1897"
47,24,1,Vice President,Adlai Stevenson,"March 4, 1893 - March 4, 1897"
48,25,,President,William McKinley,"March 4, 1897 - September 14, 1901"
49,25,1,Vice President,Garret Hobart,"March 4, 1897 - November 21, 1899"
50,25,2,Vice President,Theodore Roosevelt,"November 21, 1899 - March 4, 1901"
51,26,,President,Theodore Roosevelt,"September 14, 1901 - March 4, 1909"
52,26,1,Vice President,Charles W. Fairbanks,"March 4, 1905 - March 4, 1909"
53,27,,President,William Howard Taft,"March 4, 1909 - March 4, 1913"
54,27,1,Vice President,James S. Sherman,"March 4, 1909 - October 30, 1912"
55,28,,President,Woodrow Wilson,"March 4, 1913 - March 4, 1921"
56,28,1,Vice President,Thomas R. Marshall,"March 4, 1913 - March 4, 1921"
57,29,,President,Warren G. Harding,"March 4, 1921 - August 2, 1923"
58,29,1,Vice President,Calvin Coolidge,"March 4, 1921 - August 2, 1923"
59,30,,President,Calvin Coolidge,"August 2, 1923 - March 4, 1929"
60,30,1,Vice President,Charles G. Dawes,"March 4, 1925 - March 4, 1929"
61,31,,President,Herbert Hoover,"March 4, 1929 - March 4, 1933"
62,31,1,Vice President,Charles Curtis,"March 4, 1929 - March 4, 1933"
63,32,,President,Franklin D. Roosevelt,"March 4, 1933 - April 12, 1945"
64,32,1,Vice President,John Nance Garner,"March 4, 1933 - January 20, 1941"
65,32,2,Vice President,Henry A. Wallace,"January 20, 1941 - January 20, 1945"
66,32,3,Vice President,Harry S. Truman,"January 20, 1945 - April 12, 1945"
67,33,,President,Harry S. Truman,"April 12, 1945 - January 20, 1953"
68,33,1,Vice President,Alben W. Barkley,"January 20, 1949 - January 20, 1953"
69,34,,President,Dwight D. Eisenhower,"January 20, 1953 - January 20, 1961"
70,34,1,Vice President,Richard Nixon,"January 20, 1953 - January 20, 1961"
71,35,,President,John F. Kennedy,"January 20, 1961 - November 22, 1963"
72,35,1,Vice President,Lyndon B. Johnson,"January 20, 1961 - November 22, 1963"
73,36,,President,Lyndon B. Johnson,"November 22, 1963 - January 20, 1969"
74,36,1,Vice President,Hubert Humphrey,"January 20, 1965 - January 20, 1969"
75,37,,President,Richard Nixon,"January 20, 1969 - August 9, 1974"
76,37,1,Vice President,Spiro Agnew,"January 20, 1969 - October 10, 1973"
77,37,2,Vice President,Gerald Ford,"December 6, 1973 - August 9, 1974"
78,38,,President,Gerald Ford,"August 9, 1974 - January 20, 1977"
79,38,1,Vice President,Nelson Rockefeller,"December 19, 1974 - January 20, 1977"
80,39,,President,Jimmy Carter,"January 20, 1977 - January 20, 1981"
81,39,1,Vice President,Walter Mondale,"January 20, 1977 - January 20, 1981"
82,40,,President,Ronald Reagan,"January 20, 1981 - January 20, 1989"
83,40,1,Vice President,George H. W. Bush,"January 20, 1981 - January 20, 1989"
84,41,,President,George H. W. Bush,"January 20, 1989 - January 20, 1993"
85,41,1,Vice President,Dan Quayle,"January 20, 1989 - January 20, 1993"
86,42,,President,Bill Clinton,"January 20, 1993 - January 20, 2001"
87,42,1,Vice President,Al Gore,"January 20, 1993 - January 20, 2001"
88,43,,President,George W. Bush,"January 20, 2001 - January 20, 2009"
89,43,1,Vice President,Dick Cheney,"January 20, 2001 - January 20, 2009"
90,44,,President,Barack Obama,"January 20, 2009 - Incumbent"
91,44,1,Vice President,Joe Biden,"January 20, 2009 - Incumbent"
